Count 	Phrase
4 	Verily, verily, I say unto you, that
4 	all nations, kindreds, tongues, and people,
4 	and first year of the reign of the judges.
4 	it came to pass that when the Lamanites saw that
4 	it shall come to pass in that day that the
4 	my people, which are of the house of Israel
4 	the earth, and all things that in them are
4 	the records which were engraven on the plates of brass
4 	the records which were engraven upon the plates of brass
4 	thy seed shall all the kindreds of the earth be
4 	year of the reign of the judges, there was
46 	year of the reign of the judges over the people of
15 	And it came to pass that the Lord of the vineyard
9 	And it came to pass that I, Nephi, did
9 	it came to pass that when Jesus had spoken these words
5 	And it came to pass that in the three hundred and
5 	And it came to pass that the angel spake unto me
5 	And it came to pass that the brother of Jared did
5 	And it came to pass that the voice of the Lord
5 	it came to pass that after I, Nephi, had
5 	shall be cut off from the presence of the Lord.
4 	And it came to pass that I, Nephi, beheld
4 	And it came to pass that in the commencement of the
4 	And now it came to pass in the commencement of the
4 	Chapter 12 12 : 1 And it came to pass that
4 	Chapter 3 3 : 1 And it came to pass that
4 	at the time the Lord confounded the language of the people
3 	, both bond and free, both male and female,
3 	: 1 Behold, it came to pass that I,
3 	: 35 And it came to pass that when they had
3 	: Look ! And I looked, and I beheld the
3 	And it came to pass that I, Nephi, said
3 	And it came to pass that I looked and beheld the
3 	And it came to pass that he said unto me :
3 	And it came to pass that the armies of the Nephites
3 	And it came to pass that when the Lamanites saw that
3 	And now, my brethren, I would that ye should
3 	And the angel spake unto me, saying : Behold the
3 	Chapter 10 10 : 1 And it came to pass that
3 	Chapter 11 11 : 1 And now it came to pass
3 	Chapter 18 18 : 1 And it came to pass that
3 	Chapter 19 19 : 1 And it came to pass that
3 	Chapter 2 2 : 1 And it came to pass in
3 	Chapter 2 2 : 1 And it came to pass that
3 	Chapter 24 24 : 1 And it came to pass that
3 	Chapter 5 5 : 1 And it came to pass that
3 	Chapter 8 8 : 1 And it came to pass that
3 	Jesus Christ, the Son of God, the Father of
3 	against the season, unto mine own self. 5 :
3 	all, both old and young, both bond and free
3 	all ye ends of the earth, and come unto me
3 	in the gall of bitterness and in the bonds of iniquity
45 	year of the reign of the judges over the people of Nephi
7 	And it came to pass that the Lord of the vineyard said
5 	ninth year of the reign of the judges over the people of
5 	now it came to pass that when Jesus had spoken these words
4 	: 1 And now it came to pass that when Jesus had
4 	And it came to pass that the voice of the people came
4 	And it came to pass that when Jesus had spoken these words
4 	and all the ends of the earth shall see the salvation of
3 	, and of gold, and of silver, and of precious
3 	, verily, I say unto you, I give unto you
3 	And also of the people of the Lamanites who were in the
3 	And it came to pass that the angel spake unto me,
3 	And it came to pass that the voice of the Lord came
3 	Chapter 3 3 : 1 And it came to pass that the
3 	Chapter 8 8 : 1 And now it came to pass that
3 	Yea, it shall come in a day when there shall be
3 	and they shall write it ; and I shall also speak unto
3 	it came to pass that in the three hundred and sixty and
3 	said unto him : Believest thou that there is a God ?
3 	spake unto me again, saying : Look ! And I looked
3 	their works, whether they be good or whether they be evil
3 	they shall be cut off from the presence of the Lord.
3 	thy seed shall all the kindreds of the earth be blessed.
3 	which I have made unto the children of men, that I
2 	, according to the promises of the Lord, that they are
2 	, and these are the words which he wrote, saying :
2 	, unto every nation, kindred, tongue, and people,
2 	. 5 : 30 And it came to pass that the Lord
2 	1 : 1 Behold, it came to pass that I,
2 	: 1 And it came to pass in the commencement of the
2 	: 1 And now it came to pass that after Alma had
2 	: 15 And it came to pass that when they saw that
2 	: 16 And it came to pass that I, Nephi,
2 	: 23 And it came to pass that I, Nephi,
2 	: 39 Verily, verily, I say unto you, that
2 	: 7 And it came to pass that I, Nephi,
2 	? I say unto you, Nay, ye have not.
2 	And again I say unto you, ye must repent, and
2 	And it came to pass in the commencement of the thirty and
2 	And it came to pass that I, Nephi, beheld that
2 	And it came to pass that I, Nephi, beheld the
24 	year of the reign of the judges over the people of Nephi.
14 	year of the reign of the judges over the people of Nephi,
6 	And it came to pass that the Lord of the vineyard said unto
5 	first year of the reign of the judges over the people of Nephi
5 	sixth year of the reign of the judges over the people of Nephi
5 	year of the reign of the judges over the people of Nephi ;
4 	And now it came to pass that when Jesus had spoken these words
4 	ninth year of the reign of the judges over the people of Nephi
3 	: 1 And now it came to pass in the commencement of the
3 	And it came to pass that the servant said unto his master :
3 	And it came to pass that when Jesus had made an end of
3 	And it shall come to pass in that day that the Lord shall
3 	and ninth year of the reign of the judges over the people of
3 	as ye will not keep my commandments ye shall be cut off from
3 	beautiful upon the mountains are the feet of him that bringeth good tidings
3 	hath made bare his holy arm in the eyes of all the nations
3 	it came to pass that when Jesus had spoken these words, he
3 	now it came to pass that when Jesus had spoken these words he
3 	seventh year of the reign of the judges over the people of Nephi
3 	the grace of God the Father, and our Lord Jesus Christ,
3 	the heavens and the earth, and all things that in them are
3 	tower, at the time the Lord confounded the language of the people
2 	, and come unto me, and be baptized in my name,
2 	, and of gold, and of silver, and of precious things
2 	, for the fear of the Lord shall come upon them and the
2 	: 22 And it came to pass that I, Nephi, did
2 	: 8 And the angel spake unto me, saying : Behold the
2 	And again, how beautiful upon the mountains are the feet of those
2 	And it came to pass that after I, Nephi, had been
2 	And it came to pass that in the commencement of the twenty and
2 	And it came to pass that in the three hundred and sixty and
2 	And it came to pass that they did humble themselves before the Lord
2 	And it came to pass that when Jesus had spoken these words unto
2 	And now, my son, I have somewhat to say concerning the
2 	And now it came to pass that when Moroni had said these words
2 	Chapter 16 16 : 1 And now, it came to pass that
2 	For shall the prey be taken from the mighty, or the lawful
2 	Jesus Christ, the Son of God, the Father of heaven and
2 	all lyings, and deceivings, and envyings, and strifes, and
2 	all ye ends of the earth, and come unto me, and
2 	am thy Savior and thy Redeemer, the Mighty One of Jacob.
5 	from before my face, that the blood of the prophets and the saints
4 	and first year of the reign of the judges over the people of Nephi
4 	and sixth year of the reign of the judges over the people of Nephi
4 	year of the reign of the judges over the people of Nephi, that
3 	. Verily I say unto you, they have their reward. 13 :
3 	and fifth year of the reign of the judges over the people of Nephi
3 	ninth year of the reign of the judges over the people of Nephi.
3 	sixth year of the reign of the judges over the people of Nephi,
3 	the nineteenth year of the reign of the judges over the people of Nephi
3 	the tenth year of the reign of the judges over the people of Nephi
3 	year of the reign of the judges over the people of Nephi, there
3 	year of the reign of the judges over the people of Nephi ; and
2 	, how oft would I have gathered you as a hen gathereth her chickens
2 	, it came to pass that when king Benjamin had made an end of
2 	, of gold, and of silver, and of iron, and of
2 	, verily, I say unto you, ye must watch and pray always
2 	. And the angel of the Lord spake unto me again, saying :
2 	: 1 And now, it came to pass that when king Benjamin had
2 	: 12 And it came to pass that when Jesus had spoken these words
2 	; for they were in bondage, and none could deliver them except it
2 	And I would exhort you, my beloved brethren, that ye remember that
2 	And also of the people of the Lamanites who were in the land of
2 	And it came to pass that after king Benjamin had made an end of
2 	And it came to pass that the Lord of the vineyard and the servant
2 	And it came to pass that the Lord spake unto me, saying :
2 	And it came to pass that when Jesus had made an end of praying
2 	And now it came to pass that when Jesus had spoken these words he
2 	And thus ended the twenty and eighth year of the reign of the judges
2 	How beautiful upon the mountains are the feet of him that bringeth good tidings
2 	I say unto you that I have caused that ye should assemble yourselves together
2 	and all the ends of the earth shall see the salvation of our God
2 	as a young lion among the flocks of sheep, who, if he
2 	first year of the reign of the judges over the people of Nephi,
2 	for they shall see eye to eye when the Lord shall bring again Zion
2 	from the beginning, even down to the commencement of the reign of Zedekiah
2 	judge the poor, and reprove with equity for the meek of the earth
2 	now it came to pass that when Jesus had spoken these words he looked
2 	of the Father, and of the Son, and of the Holy Ghost
2 	seer will I raise up out of the fruit of thy loins ; and
2 	the eightieth year of the reign of the judges over the people of Nephi
2 	the ninth year of the reign of the judges over the people of Nephi
5 	year of the reign of the judges over the people of Nephi. Alma Chapter
3 	: 1 And now it came to pass that after I, Nephi, had
3 	Abraham, saying : In thy seed shall all the kindreds of the earth be
3 	And it came to pass that the brother of Jared did cry unto the Lord
3 	abominations from before my face, that the blood of the prophets and the saints
3 	and eighth year of the reign of the judges over the people of Nephi.
3 	with the voice together shall they sing ; for they shall see eye to eye
2 	. 1 : 25 And it came to pass that I began to be old
2 	: 1 And now it came to pass in the commencement of the twenty and
2 	And it came to pass that the voice of the Lord came unto my father
2 	And it came to pass that the voice of the people came, saying :
2 	And now it came to pass that when Jesus had spoken these words, he
2 	The Lord hath made bare his holy arm in the eyes of all the nations
2 	Thy watchmen shall lift up the voice ; with the voice together shall they sing
2 	and first year of the reign of the judges over the people of Nephi.
2 	and ninth year of the reign of the judges over the people of Nephi.
2 	and seventh year of the reign of the judges over the people of Nephi.
2 	and sixth year of the reign of the judges over the people of Nephi,
2 	and sixth year of the reign of the judges over the people of Nephi.
2 	as a lake of fire and brimstone, whose flame ascendeth up forever and ever
2 	created the heavens and the earth, and all things that in them are.
2 	for henceforth there shall no more come into thee the uncircumcised and the unclean.
2 	if I had not been born of God I should not have known these things
2 	in the name of thy Son, Jesus Christ, to bless and sanctify this
2 	into the land of Moroni, which was in the borders by the seashore.
2 	shall smite them, when he ariseth to shake terribly the earth. 12 :
2 	spake, saying : A prophet shall the Lord your God raise up unto you
2 	the day that cometh shall burn them up, saith the Lord of Hosts,
2 	the fourteenth year of the reign of the judges over the people of Nephi.
2 	the great tower, at the time the Lord confounded the language of the people
2 	the people of Nephi began to prosper again in the land, and began to
2 	who will not hear that prophet shall be cut off from among the people.
2 	year of the reign of the judges over the people of Nephi, that Alma
2 	year of the reign of the judges over the people of Nephi, there were
2 	year of the reign of the judges over the people of Nephi. 16 :
2 	year of the reign of the judges over the people of Nephi. 50 :
2 	year of the reign of the judges over the people of Nephi. 52 :
2 	year of the reign of the judges over the people of Nephi. And thus
2 	year of the reign of the judges over the people of Nephi. Helaman Chapter
2 	year of the reign of the judges over the people of Nephi ; and thus
4 	the God of Abraham, and the God of Isaac, and the God of Jacob
3 	And it came to pass that the Lord of the vineyard said unto his servant :
3 	And it came to pass that the Lord of the vineyard said unto the servant :
2 	, saying : O that we had repented before this great and terrible day, and
2 	And it came to pass that the angel spake unto me, saying : Look !
2 	Verily, verily, I say unto you, I give unto you to be the
2 	Verily, verily, I say unto you, that this is my doctrine, and
2 	and caught hold of the end of the rod of iron ; and they did press
2 	came forth and threw down their weapons of war at the feet of Moroni, and
2 	it is by the grace of God the Father, and our Lord Jesus Christ,
2 	of men. Verily I say unto you, they have their reward. 13 :
2 	the covenants of the Lord, which he hath made unto the house of Israel ;
2 	the nineteenth year of the reign of the judges over the people of Nephi, that
2 	the thirty and first year of the reign of the judges over the people of Nephi
2 	the twenty and fifth year of the reign of the judges over the people of Nephi
2 	the twenty and sixth year of the reign of the judges over the people of Nephi
2 	unto his servant : It grieveth me that I should lose this tree ; wherefore,
2 	verified, which he spake unto our fathers, saying that : Inasmuch as ye will
3 	, that inasmuch as ye shall keep the commandments of God ye shall prosper in the land
3 	of all the nations ; and all the ends of the earth shall see the salvation of
2 	, to be judged of their works, whether they be good or whether they be evil
2 	Abraham, saying : In thy seed shall all the kindreds of the earth be blessed.
2 	if ye will bring unto me the head of my father, the king. 8 :
2 	inasmuch as ye will not keep my commandments ye shall be cut off from my presence.
2 	spake unto me again, saying : Look ! And I looked, and I beheld the
2 	that old things had passed away, and that all things had become new. 15 :
2 	the God of Abraham, and the God of Isaac, and the God of Jacob,
2 	voice ; with the voice together shall they sing ; for they shall see eye to eye
3 	ye waste places of Jerusalem ; for the Lord hath comforted his people, he hath redeemed Jerusalem
2 	, and lay it up against the season, that I may preserve it unto mine own self
2 	And righteousness shall be the girdle of his loins, and faithfulness the girdle of his reins.
2 	abominations from before my face, that the blood of the prophets and the saints shall not come
2 	from before my face, that the blood of the prophets and the saints should not come up
2 	hath said that : Inasmuch as ye shall keep my commandments ye shall prosper in the land ;
2 	precious parts of the gospel of the Lamb which have been kept back by that abominable church,
2 	the God of Abraham, and the God of Isaac, and the God of Jacob ; and
2 	to all, both old and young, both bond and free, both male and female,
5 	. For all this his anger is not turned away, but his hand is stretched out still.
2 	, that inasmuch as ye shall keep the commandments of God ye shall prosper in the land ; and
2 	: 1 And now it came to pass that after I, Nephi, had made an end of
2 	inasmuch as ye will not keep the commandments of God ye shall be cut off from his presence.
2 	lake of fire and brimstone, whose flames are unquenchable, and whose smoke ascendeth up forever and ever
2 	now it came to pass that after the people of Ammon were established in the land of Jershon,
2 	And it came to pass that the angel spake unto me again, saying : Look ! And I looked
2 	put on thy strength, O Zion ; put on thy beautiful garments, O Jerusalem, the holy city
2 	they shall be drunken with their own blood as with sweet wine ; and all flesh shall know that I
2 	, to hide their wickedness and abominations from before my face, that the blood of the prophets and the saints
2 	. For all this his anger is not turned away, but his hand is stretched out still. 19 :
2 	the captives of the mighty shall be taken away, and the prey of the terrible shall be delivered ; for
2 	who is in secret ; and thy Father, who seeth in secret, shall reward thee openly. 13 :
2 	And it came to pass that the brother of Jared did cry unto the Lord, and the Lord had compassion upon
2 	which I have made unto the children of men, that I will do unto them while they are in the flesh
2 	And kings shall be thy nursing fathers, and their queens thy nursing mothers ; they shall bow down to thee with their
2 	WITNESSES Be it known unto all nations, kindreds, tongues, and people, unto whom this work shall come : That
2 	child shall play on the hole of the asp, and the weaned child shall put his hand on the cockatrices den.
2 	for that which had not been told them shall they see ; and that which they had not heard shall they consider.
2 	in me, that I may be in them as thou, Father, art in me, that we may be one
2 	And the rain descended, and the floods came, and the winds blew, and beat upon that house ; and it fell
2 	, like unto me ; him shall ye hear in all things whatsoever he shall say unto you. And it shall come to pass that
2 	hath made bare his holy arm in the eyes of all the nations ; and all the ends of the earth shall see the salvation of
2 	And the cow and the bear shall feed ; their young ones shall lie down together ; and the lion shall eat straw like the ox.
2 	Break forth into joy, sing together, ye waste places of Jerusalem ; for the Lord hath comforted his people, he hath redeemed Jerusalem.
2 	passed away, and the Lord of the vineyard said unto his servant : Come, let us go down into the vineyard, that we may labor
2 	Shake thyself from the dust ; arise, sit down, O Jerusalem ; loose thyself from the bands of thy neck, O captive daughter of Zion.
2 	unto the Father that ye do always remember me. And if ye do always remember me ye shall have my Spirit to be with you. 18 :
2 	towards the earth, and lick up the dust of thy feet ; and thou shalt know that I am the Lord ; for they shall not be ashamed that wait for me.
2 	sheep I have which are not of this fold ; them also I must bring, and they shall hear my voice ; and there shall be one fold, and one shepherd. 15 :
2 	Thus saith the Lord God : Behold, I will lift up mine hand to the Gentiles, and set up my standard to the people ; and they shall bring thy sons in their arms, and thy daughters shall be carried upon their shoulders.
